filepath,label
NUTS/NUTS0146.png,NUTS
SODA/SODA0108.png,SODA
CHOCOLATE/CHOCOLATE0080.png,CHOCOLATE
JUICE/JUICE0113.png,JUICE
SODA/SODA0004.png,SODA
MILK/MILK0029.png,MILK
COFFEE/COFFEE0186.png,COFFEE
HONEY/HONEY0141.png,HONEY
MILK/MILK0146.png,MILK
CHIPS/CHIPS0113.png,CHIPS
SPICES/SPICES0033.png,SPICES
BEANS/BEANS0116.png,BEANS
CHOCOLATE/CHOCOLATE0151.png,CHOCOLATE
TEA/TEA0127.png,TEA
SPICES/SPICES0094.png,SPICES
COFFEE/COFFEE0131.png,COFFEE
OIL/OIL0091.png,OIL
RICE/RICE0125.png,RICE
CHOCOLATE/CHOCOLATE0134.png,CHOCOLATE
CORN/CORN0092.png,CORN
JUICE/JUICE0066.png,JUICE
COFFEE/COFFEE0112.png,COFFEE
SODA/SODA0134.png,SODA
CORN/CORN0003.png,CORN
MILK/MILK0120.png,MILK
JUICE/JUICE0016.png,JUICE
HONEY/HONEY0074.png,HONEY
TOMATO_SAUCE/TOMATO_SAUCE0067.png,TOMATO_SAUCE
VINEGAR/VINEGAR0029.png,VINEGAR
CORN/CORN0012.png,CORN
FLOUR/FLOUR0093.png,FLOUR
WATER/WATER0178.png,WATER
MILK/MILK0148.png,MILK
SODA/SODA0142.png,SODA
JAM/JAM0177.png,JAM
TEA/TEA0069.png,TEA
JAM/JAM0077.png,JAM
OIL/OIL0098.png,OIL
SUGAR/SUGAR0085.png,SUGAR
SODA/SODA0017.png,SODA
MILK/MILK0050.png,MILK
HONEY/HONEY0175.png,HONEY
JAM/JAM0022.png,JAM
CHOCOLATE/CHOCOLATE0103.png,CHOCOLATE
VINEGAR/VINEGAR0051.png,VINEGAR
HONEY/HONEY0056.png,HONEY
HONEY/HONEY0000.png,HONEY
VINEGAR/VINEGAR0122.png,VINEGAR
OIL/OIL0011.png,OIL
CAKE/CAKE0009.png,CAKE
CAKE/CAKE0109.png,CAKE
NUTS/NUTS0106.png,NUTS
PASTA/PASTA0089.png,PASTA
TEA/TEA0198.png,TEA
TEA/TEA0067.png,TEA
JAM/JAM0240.png,JAM
CHOCOLATE/CHOCOLATE0104.png,CHOCOLATE
FISH/FISH0018.png,FISH
CHIPS/CHIPS0158.png,CHIPS
CEREAL/CEREAL0112.png,CEREAL
CANDY/CANDY0347.png,CANDY
CHIPS/CHIPS0092.png,CHIPS
COFFEE/COFFEE0125.png,COFFEE
JUICE/JUICE0231.png,JUICE
CHIPS/CHIPS0106.png,CHIPS
NUTS/NUTS0022.png,NUTS
COFFEE/COFFEE0286.png,COFFEE
FISH/FISH0080.png,FISH
JUICE/JUICE0127.png,JUICE
CAKE/CAKE0096.png,CAKE
CHIPS/CHIPS0107.png,CHIPS
MILK/MILK0017.png,MILK
MILK/MILK0066.png,MILK
CAKE/CAKE0153.png,CAKE
NUTS/NUTS0046.png,NUTS
BEANS/BEANS0104.png,BEANS
CAKE/CAKE0013.png,CAKE
RICE/RICE0026.png,RICE
HONEY/HONEY0096.png,HONEY
JAM/JAM0006.png,JAM
COFFEE/COFFEE0059.png,COFFEE
BEANS/BEANS0010.png,BEANS
CAKE/CAKE0107.png,CAKE
MILK/MILK0160.png,MILK
CEREAL/CEREAL0149.png,CEREAL
CHOCOLATE/CHOCOLATE0031.png,CHOCOLATE
JAM/JAM0196.png,JAM
MILK/MILK0109.png,MILK
SPICES/SPICES0016.png,SPICES
CANDY/CANDY0310.png,CANDY
OIL/OIL0122.png,OIL
JUICE/JUICE0149.png,JUICE
CANDY/CANDY0233.png,CANDY
CORN/CORN0094.png,CORN
TEA/TEA0213.png,TEA
SPICES/SPICES0053.png,SPICES
CANDY/CANDY0301.png,CANDY
RICE/RICE0059.png,RICE
JAM/JAM0108.png,JAM
VINEGAR/VINEGAR0059.png,VINEGAR
SPICES/SPICES0141.png,SPICES
WATER/WATER0176.png,WATER
WATER/WATER0142.png,WATER
RICE/RICE0088.png,RICE
RICE/RICE0064.png,RICE
CANDY/CANDY0028.png,CANDY
CEREAL/CEREAL0227.png,CEREAL
HONEY/HONEY0143.png,HONEY
SPICES/SPICES0094.png,SPICES
NUTS/NUTS0148.png,NUTS
BEANS/BEANS0088.png,BEANS
JUICE/JUICE0205.png,JUICE
RICE/RICE0038.png,RICE
SODA/SODA0010.png,SODA
CORN/CORN0068.png,CORN
VINEGAR/VINEGAR0135.png,VINEGAR
RICE/RICE0004.png,RICE
CORN/CORN0085.png,CORN
JUICE/JUICE0251.png,JUICE
PASTA/PASTA0137.png,PASTA
FLOUR/FLOUR0001.png,FLOUR
TEA/TEA0210.png,TEA
CHIPS/CHIPS0086.png,CHIPS
JUICE/JUICE0056.png,JUICE
FLOUR/FLOUR0021.png,FLOUR
CEREAL/CEREAL0105.png,CEREAL
SPICES/SPICES0137.png,SPICES
JUICE/JUICE0174.png,JUICE
COFFEE/COFFEE0285.png,COFFEE
OIL/OIL0116.png,OIL
CAKE/CAKE0056.png,CAKE
CAKE/CAKE0020.png,CAKE
MILK/MILK0060.png,MILK
CHOCOLATE/CHOCOLATE0000.png,CHOCOLATE
MILK/MILK0138.png,MILK
JAM/JAM0205.png,JAM
BEANS/BEANS0118.png,BEANS
CEREAL/CEREAL0195.png,CEREAL
SODA/SODA0129.png,SODA
TOMATO_SAUCE/TOMATO_SAUCE0110.png,TOMATO_SAUCE
CANDY/CANDY0184.png,CANDY
FLOUR/FLOUR0056.png,FLOUR
CHIPS/CHIPS0085.png,CHIPS
BEANS/BEANS0009.png,BEANS
CORN/CORN0087.png,CORN
NUTS/NUTS0075.png,NUTS
HONEY/HONEY0089.png,HONEY
TOMATO_SAUCE/TOMATO_SAUCE0084.png,TOMATO_SAUCE
CANDY/CANDY0010.png,CANDY
SUGAR/SUGAR0062.png,SUGAR
OIL/OIL0006.png,OIL
CAKE/CAKE0054.png,CAKE
JUICE/JUICE0057.png,JUICE
OIL/OIL0026.png,OIL
CHOCOLATE/CHOCOLATE0137.png,CHOCOLATE
JAM/JAM0128.png,JAM
SODA/SODA0060.png,SODA
JUICE/JUICE0178.png,JUICE
JAM/JAM0051.png,JAM
JUICE/JUICE0021.png,JUICE
CEREAL/CEREAL0003.png,CEREAL
MILK/MILK0113.png,MILK
BEANS/BEANS0016.png,BEANS
TEA/TEA0212.png,TEA
MILK/MILK0059.png,MILK
CHOCOLATE/CHOCOLATE0039.png,CHOCOLATE
CAKE/CAKE0011.png,CAKE
CANDY/CANDY0228.png,CANDY
COFFEE/COFFEE0243.png,COFFEE
FLOUR/FLOUR0050.png,FLOUR
CANDY/CANDY0311.png,CANDY
JUICE/JUICE0167.png,JUICE
JUICE/JUICE0099.png,JUICE
COFFEE/COFFEE0291.png,COFFEE
FLOUR/FLOUR0039.png,FLOUR
RICE/RICE0060.png,RICE
TOMATO_SAUCE/TOMATO_SAUCE0127.png,TOMATO_SAUCE
